,reward,test_name,model
0,"(253.0875, 10.4517)",Packing-flt,o2
1,"(0.2552, 2.1775)",CrossingThresholds-flt,o2
2,"(0.1539, 0.9716)",tsp,o2
3,"(0.246, 10.4547)",Packing-dbl,o2
4,"(0.2523, 4.8544)",Reductions-flt,o2
5,"(0.1295, 4.0844)",llu,o2
6,"(0.2297, 69.255)",scimark2,o2
7,"(0.1898, 0.1487)",pcompress2,o2
8,"(0.1731, 3.9156)",llu,o2
9,"(0.1109, 0.6727)",drop3,o2
10,"(0.25, 3.0296)",LoopRerolling-dbl,o2
11,"(0.1393, 1.3566)",enc-rc4,o2
12,"(1.8362, 0.5365)",espresso,o2
13,"(0.1781, 0.1282)",neural,o2
14,"(0.5599, 0.0786)",pifft,o2
15,"(0.2376, 3.4199)",NodeSplitting-flt,o2
16,"(0.6417, 0.8015)",miniGMG,o2
17,"(0.1709, 7.7774)",8b10b,o2
18,"(0.1687, 0.9331)",tsp,o2
19,"(0.2251, 1.1113)",dbms,o2
20,"(0.2517, 0.4124)",fourinarow,o2
21,"(0.2535, 1.1067)",dbms,o2
22,"(1.7915, 0.5455)",espresso,o2
23,"(0.1703, 0.9447)",tsp,o2
24,"(6.7711, 10.2971)",tramp3d-v4,o2
25,"(5.9633, 0.1665)",consumer-typeset,o2
26,"(0.2898, 10.4731)",Packing-dbl,o2
27,"(0.1679, 2.3134)",IRSmk,o2
28,"(0.1619, 1.6491)",five11,o2
29,"(0.1958, 0.9642)",tsp,o2
30,"(0.2441, 2.4356)",LoopRerolling-flt,o2
31,"(0.2137, 1.123)",beamformer,o2
32,"(0.1638, 0.1493)",mason,o2
33,"(0.2945, 0.4175)",fourinarow,o2
34,"(0.2696, 3.4516)",NodeSplitting-flt,o2
35,"(0.1705, 1.424)",fhourstones3.1,o2
36,"(0.3141, 11.4812)",AMGmk,o2
37,"(0.3037, 3.4452)",NodeSplitting-flt,o2
38,"(0.2357, 1.1127)",beamformer,o2
39,"(0.2141, 0.0381)",ocean,o2
40,"(1.7632, 0.562)",espresso,o2
41,"(0.1782, 0.6198)",srad,o2
42,"(0.176, 0.0285)",telecomm-fft,o2
43,"(0.2718, 1.5594)",enc-md5,o2
44,"(0.2753, 1.5599)",enc-md5,o2
45,"(0.2295, 1.1186)",beamformer,o2
46,"(0.1438, 0.2424)",telecomm-CRC32,o2
47,"(0.1771, 0.1191)",distray,o2
48,"(0.1661, 0.3228)",perimeter,o2
49,"(0.301, 4.2394)",InductionVariable-flt,o2
50,"(0.2853, 3.4148)",GlobalDataFlow-dbl,o2
51,"(0.1708, 0.6576)",bisort,o2
52,"(0.1845, 1.3471)",enc-rc4,o2
53,"(0.1987, 1.3262)",enc-rc4,o2
54,"(0.2278, 0.5785)",power,o2
55,"(0.3014, 2.1494)",GlobalDataFlow-flt,o2
56,"(0.1692, 0.018)",security-sha,o2
57,"(0.2758, 5.2191)",IndirectAddressing-dbl,o2
58,"(0.2807, 3.7931)",Recurrences-dbl,o2
59,"(0.4614, 0.6084)",bc,o2
60,"(0.1978, 0.6591)",drop3,o2
61,"(1.7618, 0.5387)",espresso,o2
62,"(0.2765, 2.3926)",LoopRerolling-flt,o2
63,"(0.1812, 0.0296)",telecomm-fft,o2
64,"(0.1962, 5.9531)",is,o2
65,"(0.2066, 0.1732)",health,o2
66,"(0.2738, 3.4949)",NodeSplitting-dbl,o2
67,"(1.3939, 0.0616)",gs,o2
68,"(0.2064, 0.9789)",tsp,o2
69,"(0.2753, 3.4145)",NodeSplitting-flt,o2
70,"(0.1573, 0.0784)",bintr,o2
71,"(0.1735, 0.1729)",mason,o2
72,"(0.4354, 0.9534)",HPCCG,o2
73,"(0.1971, 0.1911)",hotspot,o2
74,"(0.3327, 3.6923)",LinearDependence-dbl,o2
75,"(0.1905, 0.2095)",uudecode,o2
76,"(0.2591, 1.5117)",ecbdes,o2
77,"(0.1946, 0.5734)",power,o2
78,"(0.2961, 1.8942)",Expansion-flt,o2
79,"(0.3573, 3.6979)",LinearDependence-dbl,o2
80,"(0.2809, 2.4426)",LoopRerolling-flt,o2
81,"(0.2987, 0.423)",fourinarow,o2
82,"(0.2054, 1.4226)",fhourstones3.1,o2
83,"(0.184, 0.0772)",bintr,o2
84,"(0.2096, 0.1016)",distray,o2
85,"(0.2919, 2.9908)",LoopRerolling-dbl,o2
86,"(0.2049, 0.233)",telecomm-adpcm,o2
87,"(0.2571, 1.1621)",bh,o2
