,reward,test_name,model
113,"(3.7671, 4.584)",LoopRerolling-flt,dropkeep
114,"(0.8232, 4.0706)",llu,dropkeep
115,"(2.05, 2.3755)",IRSmk,dropkeep
116,"(29.609, 15.7308)",halide_blur,dropkeep
117,"(2.8864, 2.6741)",XSBench,dropkeep
118,"(2.3246, 0.0323)",ocean,dropkeep
119,"(0.3695, 0.2003)",primes,dropkeep
120,"(6.8597, 0.0813)",pifft,dropkeep
121,"(7.2404, 8.2049)",miniFE,dropkeep
122,"(3.6932, 1.6312)",ecbdes,dropkeep
123,"(5.8684, 11.6271)",AMGmk,dropkeep
124,"(0.6278, 0.0619)",network-dijkstra,dropkeep
125,"(1.1084, 0.0595)",network-patricia,dropkeep
126,"(3.4711, 0.2041)",voronoi,dropkeep
127,"(2.1157, 4.529)",HACCKernels,dropkeep
128,"(2.1021, 1.2937)",power,dropkeep
129,"(6.7058, 3.1554)",CoMD,dropkeep
130,"(6.3247, 0.0915)",gnugo,dropkeep
131,"(0.5768, 8.8546)",8b10b,dropkeep
132,"(0.3897, 0.2025)",primes,dropkeep
133,"(4.8443, 7.9325)",Reductions-dbl,dropkeep
134,"(4.5676, 6.6474)",InductionVariable-flt,dropkeep
135,"(4.408, 8.6803)",GlobalDataFlow-dbl,dropkeep
136,"(4.423, 6.319)",CrossingThresholds-flt,dropkeep
137,"(4.1842, 5.6642)",GlobalDataFlow-dbl,dropkeep
138,"(6.0043, 4.2267)",Symbolics-dbl,dropkeep
139,"(2.9767, 85.8414)",scimark2,dropkeep
140,"(10.3842, 0.1552)",consumer-typeset,dropkeep
141,"(4.195, 4.2471)",Equivalencing-dbl,dropkeep
142,"(6.8344, 1.0603)",miniAMR,dropkeep
143,"(3.7072, 13.05)",Searching-dbl,dropkeep
144,"(3.7508, 12.9379)",Searching-flt,dropkeep
145,"(1.5789, 6.9048)",CrystalMk,dropkeep
146,"(6.8344, 1.0639)",enc-3des,dropkeep
147,"(9.9186, 0.1942)",consumer-typeset,dropkeep
148,"(2.7693, 0.8704)",fourinarow,dropkeep
149,"(1.054, 6.0068)",is,dropkeep
150,"(1.421, 9.3786)",CrystalMk,dropkeep
151,"(6.7962, 0.0789)",automotive-susan,dropkeep
152,"(6.3419, 0.0834)",gnugo,dropkeep
153,"(2.0553, 6.9823)",em3d,dropkeep
154,"(0.7777, 0.9959)",pathfinder,dropkeep
155,"(0.744, 3.3926)",llu,dropkeep
156,"(2.6115, 3.0031)",HACCKernels,dropkeep
157,"(6.3217, 0.0508)",gnugo,dropkeep
158,"(6.4807, 15.5389)",AMGmk,dropkeep
