,reward,test_name,model
129,"(0.2756, 0.1045)",analyzer,random45
130,"(0.2553, 0.0586)",network-dijkstra,random45
131,"(0.3003, 7.3148)",Equivalencing-dbl,random45
132,"(0.2276, 1.4102)",treeadd,random45
133,"(8.4115, 14.6834)",tramp3d-v4,random45
134,"(0.3351, 4.529)",LoopRestructuring-flt,random45
135,"(0.3436, 12.9735)",AMGmk,random45
136,"(0.6007, 10.5436)",ControlLoops-flt,random45
137,"(0.4134, 4.1)",CoMD,random45
138,"(0.2466, 7.9399)",IndirectAddressing-flt,random45
139,"(0.3443, 10.1639)",LinearDependence-flt,random45
140,"(0.3724, 4.4393)",CrossingThresholds-flt,random45
141,"(1.4957, 45.3538)",pairlocalalign,random45
142,"(0.3505, 0.1161)",vor,random45
143,"(0.4106, 0.1046)",pifft,random45
144,"(0.4339, 4.0834)",SimpleMOC,random45
145,"(0.3268, 2.9868)",SimpleMOC,random45
146,"(0.3021, 8.9261)",GlobalDataFlow-flt,random45
147,"(0.6688, 0.101)",pifft,random45
148,"(0.693, 3.0168)",PathFinder,random45
149,"(0.2781, 8.1843)",Equivalencing-flt,random45
150,"(0.2489, 6.0185)",is,random45
151,"(0.3049, 10.458)",ControlFlow-dbl,random45
152,"(0.2867, 1.3768)",power,random45
153,"(1.3003, 0.0512)",gs,random45
154,"(0.2998, 1.5855)",ecbdes,random45
155,"(1.6249, 0.6274)",espresso,random45
156,"(2.1315, 0.6925)",espresso,random45
157,"(0.2588, 0.8856)",drop3,random45
158,"(0.2773, 0.2)",primes,random45
159,"(0.2524, 0.6952)",bisort,random45
160,"(0.2328, 0.0421)",telecomm-fft,random45
161,"(0.411, 8.4334)",ControlLoops-dbl,random45
162,"(0.2616, 0.1954)",uudecode,random45
163,"(0.3168, 9.0356)",InductionVariable-flt,random45
164,"(0.2548, 2.7588)",beamformer,random45
165,"(0.3848, 1.2425)",srad,random45
166,"(0.6191, 0.5741)",bc,random45
167,"(0.2511, 1.206)",power,random45
168,"(0.4981, 4.7018)",nbench,random45
169,"(0.2738, 10.9077)",CrossingThresholds-dbl,random45
170,"(0.3612, 8.9548)",ControlLoops-dbl,random45
171,"(0.2915, 6.7388)",em3d,random45
172,"(0.2449, 0.2269)",telecomm-CRC32,random45
173,"(0.7341, 0.0435)",security-rijndael,random45
174,"(0.2698, 0.0797)",bintr,random45
175,"(0.3204, 10.3084)",ControlFlow-dbl,random45
176,"(0.341, 2.2111)",bh,random45
177,"(0.2313, 0.1981)",primes,random45
178,"(0.4035, 4.6159)",StatementReordering-flt,random45
179,"(0.2654, 0.0491)",qbsort,random45
180,"(0.2933, 5.1404)",Equivalencing-flt,random45
181,"(0.4192, 4.9549)",LoopRestructuring-dbl,random45
182,"(0.2398, 3.2735)",llu,random45
183,"(0.2885, 9.175)",CrystalMk,random45
184,"(0.445, 10.2258)",Reductions-dbl,random45
185,"(0.2807, 0.2148)",health,random45
186,"(3.1998, 0.1954)",consumer-typeset,random45
187,"(0.2557, 4.5002)",CrossingThresholds-flt,random45
188,"(0.5923, 3.1775)",SimpleMOC,random45
189,"(0.3273, 4.8383)",LoopRestructuring-flt,random45
190,"(1.0583, 0.0637)",gs,random45
191,"(0.2298, 0.254)",mason,random45
192,"(0.3198, 9.3914)",LoopRerolling-flt,random45
193,"(0.2476, 0.0438)",ocean,random45
194,"(0.9093, 0.5558)",espresso,random45
195,"(0.2639, 1.0614)",pathfinder,random45
196,"(0.3354, 15.6963)",AMGmk,random45
197,"(0.4465, 11.3252)",CrossingThresholds-dbl,random45
198,"(0.681, 3.882)",SimpleMOC,random45
199,"(0.4249, 1.7933)",HPCCG,random45
200,"(1.0014, 0.0548)",gs,random45
201,"(0.3559, 0.1401)",vor,random45
202,"(0.3368, 5.2664)",sim,random45
203,"(0.3326, 4.0789)",Recurrences-dbl,random45
204,"(0.4183, 5.7281)",Recurrences-flt,random45
205,"(0.2531, 1.8106)",five11,random45
206,"(0.3318, 9.0761)",LinearDependence-flt,random45
207,"(0.2928, 6.3426)",IndirectAddressing-flt,random45
208,"(0.3109, 3.2384)",LoopRestructuring-flt,random45
209,"(0.2836, 0.0808)",distray,random45
210,"(0.3812, 7.5664)",LinearDependence-flt,random45
211,"(0.3537, 6.9078)",Equivalencing-flt,random45
212,"(0.276, 2.0451)",ecbdes,random45
213,"(0.2954, 0.0267)",telecomm-fft,random45
214,"(0.4571, 11.6302)",ControlFlow-dbl,random45
215,"(0.3015, 0.7353)",srad,random45
216,"(0.2607, 0.702)",netbench-crc,random45
217,"(0.2791, 3.4835)",llu,random45
218,"(0.2561, 0.987)",netbench-crc,random45
219,"(0.2632, 0.9887)",tsp,random45
220,"(5.0463, 14.6189)",tramp3d-v4,random45
221,"(0.3447, 2.3145)",IRSmk,random45
222,"(0.2512, 0.2969)",neural,random45
223,"(0.3263, 13.3338)",Reductions-flt,random45
224,"(0.302, 0.1938)",automotive-basicmath,random45
225,"(0.3057, 1.1626)",enc-md5,random45
226,"(0.2778, 0.2599)",neural,random45
227,"(0.2508, 8.4567)",8b10b,random45
228,"(0.3143, 1.5219)",ecbdes,random45
229,"(0.4613, 4.5206)",nbench,random45
230,"(1.1033, 10.9488)",miniFE,random45
231,"(0.2792, 1.4228)",treeadd,random45
232,"(0.3254, 10.4255)",CrossingThresholds-dbl,random45
233,"(0.7776, 0.0408)",security-rijndael,random45
234,"(0.3286, 9.1606)",InductionVariable-flt,random45
235,"(5.8355, 9.8531)",tramp3d-v4,random45
236,"(0.2572, 0.2116)",health,random45
237,"(0.4418, 4.8304)",NodeSplitting-flt,random45
238,"(0.3242, 3.165)",StatementReordering-dbl,random45
239,"(0.3203, 0.4093)",rsbench,random45
240,"(0.4478, 1.0395)",enc-3des,random45
241,"(0.2577, 0.0321)",telecomm-fft,random45
242,"(0.3115, 19.5367)",Packing-dbl,random45
243,"(6.4127, 14.5402)",tramp3d-v4,random45
